day,proc,N,T,n_mle,beta_mle,mu_mle,n_bayes,n_sd,n_lo,n_hi,n_soe,m_soe,gamma_min_soe,ll_exp,ll_soe,ks_stat,ks_p,ks_soe,ksp_soe,a0,a1,a2,a3,a4,a5,a6
20140422,Tr,27892,50397.657063000006,0.7107704458875486,4.576303470150806,0.16008483344324448,0.7106453775489809,0.005351709439202324,0.7017924980263078,0.7193981595375853,0.9465608222255635,14.109168449603605,0.002947191583388324,-10184.462096814434,6509.675026964782,0.17391811518877573,0.0,0.09380666524812076,4.670176327748446e-214,0.0011310058511252395,0.016355775665924995,0.4035302879010471,0.576337533829675,0.5578607034624437,200.27270885435001,28.871232808005665
20140423,P,10413,50395.973549,0.6164103632100876,1613.2948249956032,0.07925868852044986,0.616301532304478,0.007705847795141722,0.6035762619519266,0.6289271479411269,0.9448521191962856,11.340571694380778,0.0034425205337880183,21807.851255589252,26584.73016010895,0.10113194358562194,3.6047933452601415e-93,0.12941210763150812,1.6715908147038123e-152,0.0010065057024398628,0.005693328201709713,0.07034224343196363,0.9684197490820412,1.4906223667785272,597.0364683742782,81.41356552970944
20140423,Tr,30033,50395.973549,0.7017944481135932,7.539865591664371,0.17772687786643254,0.7016975494285368,0.005131043513377935,0.6932143627673573,0.7100941845128377,0.9621414983555819,18.07397286434379,0.0018122450400102736,-1759.0470177729985,19094.703068704668,0.20407552277647775,0.0,0.056233730815225313,5.447913885867455e-83,0.0015696051422892125,0.014130474349083275,0.2665885728173724,1.363163068655641,1.5912906014876917,240.70747538200746,43.50979556006971
20140424,P,14705,50397.619578,0.6032528176077621,1634.5385981047614,0.11577473890962649,0.6031970876012626,0.006422021232142972,0.5926030868802794,0.613730415242179,0.9505970798500518,11.766761200886412,0.003102178580537061,30613.808011881712,37219.823731561264,0.10395541205326153,8.119064396858028e-139,0.13034294706578342,2.768836717997787e-218,0.001049518560745848,0.006102396555188481,0.06837807609337933,1.0903054452416445,1.604880590785724,580.9321001540875,102.31731544093773
20140424,Tr,37290,50397.619578,0.3823884796500509,168.3036431095867,0.4569795703943216,0.6331139376711663,0.004591413419268136,0.625540908541041,0.6406457497368669,0.964217037283881,21.570361735736,0.001481668362635848,3993.4823332401356,29987.2146455893,0.18423950418439472,0.0,0.03652502974093974,1.1682411977184585e-43,0.0019144118031769292,0.014462689088134976,0.19185339816321412,1.5819589553937026,1.9546420486925657,254.48682551160329,40.66426383724961
20140425,P,11575,50399.999028000006,0.6053445968809202,1836.3994690498587,0.09063764294090339,0.6052668018802454,0.007245534807907922,0.5933090470674987,0.6171456298819695,0.9342022537154671,10.881379571438691,0.00398499670343308,24192.285687031286,28700.81610963703,0.10796819910008704,5.8421476712732655e-118,0.13922605695785728,3.40339683584634e-196,0.0009544420856337448,0.00539827742533612,0.07000041451033416,1.0449686218269592,1.1997361121791001,589.797663642622,84.8296944128821
20140425,Tr,29375,50399.999028000006,0.6643323429335054,8.996804007769587,0.19565278152474455,0.6642713783400958,0.00506925474395872,0.6559007163151495,0.672577460913018,0.9465228929073463,17.263595193917773,0.002510862931713104,-4413.712912882256,15669.768321999429,0.20386318473673534,0.0,0.06103673442798452,1.413353760199268e-95,0.0014679365705170175,0.013878632335043791,0.25815202939312354,1.468916142415205,0.7262050571118082,244.94578781997527,36.91430479469333
20140428,P,8598,50391.400311000005,0.5776287679640135,1930.309301962175,0.07206678211585008,0.5775506656714734,0.008201544329822508,0.5640232105602928,0.5910051596932918,0.9080344462579543,10.401890250935034,0.005032946139689933,14512.461520760311,17862.759067991065,0.10963505225951264,1.8384155411226944e-90,0.1461850452394306,7.971311464934742e-161,0.0008675366094670841,0.00691179267161243,0.06831202780756461,0.9695907721297843,1.5904194149606177,561.3510949145474,96.36464510424923
20140428,Tr,19763,50391.400311000005,0.353514784464738,591.9209317538593,0.25355203481466315,0.35373633506177227,0.0043765394570741,0.3465582785379945,0.360956201312159,0.9410521852020743,32.18131968341089,0.0016344038731211476,-1034.0729105249047,8750.925301163672,0.15284967797677296,0.0,0.0248379969177846,5.0396208745866545e-11,0.002954344830774734,0.00627851654061165,0.0970004555603023,1.5383793272867503,3.208956780629567,295.68220283474227,42.22377788469137
20140429,P,14609,50399.065579999995,0.6155024575951255,1632.503633591269,0.11145294691236476,0.6154337716957666,0.0065080451833093135,0.6046933866096156,0.6261036710463888,0.9502720219728914,11.0426320839048,0.0032495148455292055,32064.543824695007,38265.42835694982,0.1080355736094274,6.036921412773506e-149,0.127760174343915,2.4397188192133588e-208,0.000996023349982341,0.004413269098009416,0.08063184388515204,1.0548461590816653,1.6947157561193695,593.0936234903187,103.79755149732054
20140429,Tr,32624,50399.065579999995,0.5084250056927679,42.95059268046295,0.3182132867395089,0.5086092638027703,0.00457243236814928,0.5010867797904264,0.5161292906825414,0.9665867628715267,26.474681121497444,0.0011585662972361688,1997.1131089609662,22816.113236569498,0.1712663615587276,0.0,0.023560238202133404,3.6561195225309416e-16,0.0024742797273488363,0.006503650567293377,0.17601014949870195,2.056130258134996,0.8245265969129447,259.6254915224071,46.28351659971195
20140430,P,16854,50398.842309,0.5908287429435187,1610.503326368889,0.136843744972275,0.590799588236036,0.0059426936345584646,0.5810017414951582,0.6005521783396468,0.9528498815335286,11.975455537447582,0.00295967159012858,34340.51983364498,43175.93830660787,0.11551711221890437,2.1784929537696106e-196,0.12401075446576199,2.2952113211003498e-226,0.0010706366685219663,0.006234665153828806,0.06732985268959528,1.2989590515348586,0.8923166160126846,568.6507044056783,86.39934734157569
20140430,Tr,35489,50398.842309,0.5130257692360147,53.391129635398585,0.3429091079384985,0.5132002089872376,0.0043675334783015805,0.5060142805204664,0.5203826987791413,0.9349142215404256,21.587228992319105,0.0024658689885003883,7504.187067621693,28707.287179349914,0.1703064020935299,0.0,0.023159494595047098,5.739863916030833e-17,0.001889303471475022,0.011290590007159403,0.13956552227379418,2.0118464643679537,1.5668401757597303,272.5958081419431,40.63595711199427
