n_true,profile,rep,N,n_exp,n_soe,n_exp_1s,beta_exp
0.85,fast,9,6440,0.7144462128527467,0.8542596664121364,0.8264743212737959,1002.4316612388434
0.85,fast,10,6723,0.7017062506741183,0.8681144890132969,0.8437626011959484,1127.7593951016224
0.85,fast,11,5755,0.6823619854087618,0.8675035342855096,0.8182927211289461,1265.2576120596862
0.85,fast,12,5009,0.6660699803268739,0.8505568897726121,0.7816838294311259,1215.6494744334511
0.85,fast,13,5638,0.6742811159198148,0.849047089058508,0.798528174594267,1216.4081497688608
0.85,fast,14,6041,0.696718059674723,0.8600286558756177,0.8151835215830694,1057.865427312942
0.85,fast,15,6294,0.6927614170712363,0.8470978269006566,0.813604538121143,1137.4964608202881
0.85,fast,16,6303,0.6917102320709848,0.8494981376672112,0.8190605611366786,1063.1527802217688
0.85,fast,17,6843,0.7034131574257096,0.8659492100254901,0.831496454864111,1163.034406113655
0.85,fast,18,6358,0.7023658007601085,0.8595873898816346,0.8230492564356975,1038.196671748543
0.85,fast,19,5778,0.6878320610055945,0.838994857741553,0.808479429212015,1085.0465445681803
0.85,fast,20,6295,0.6901393485513314,0.8460331561085805,0.8147903210010132,1147.2445532814475
0.85,fast,21,6335,0.6827386066066528,0.8365385883841076,0.8126413850972432,1163.1628513758933
0.85,fast,22,6027,0.6994287161517477,0.8492280226697102,0.8172776420032539,1014.6143111572949
0.85,fast,23,6498,0.7119531502837422,0.8446689137164595,0.8260974982189508,1022.8014601680844
0.85,fast,24,5559,0.6956921404830694,0.8399952321905448,0.8067407899333544,1091.242164670513
0.85,fast,25,5174,0.6688928163491786,0.8452756824917467,0.7939535133183602,1169.9093663674053
0.85,fast,26,5510,0.6799207984067768,0.8432104597618049,0.7968709150401915,1149.0403771587728
0.85,fast,27,6150,0.6872480821541593,0.8441081716475001,0.8181636001268052,1074.1334653648555
0.85,fast,28,5072,0.6606692202312558,0.8182525590064632,0.788973031938836,1083.6217047103667
0.85,fast,29,6110,0.6892668979897575,0.8416970518499419,0.8115287446150425,1124.4752046871636
0.85,balanced,0,6232,0.33904121741421867,0.8264799492504,0.637751034018747,592.9008645438961
0.85,balanced,1,5993,0.33942412109322956,0.844353533504757,0.6416806153994263,659.4770428048071
0.85,balanced,2,6247,0.35342077467782623,0.8103357316122608,0.6265053405812548,528.6199084257609
0.85,balanced,3,6368,0.36828158563602703,0.8442214007601981,0.6518115751064958,422.16139428032255
0.85,balanced,4,4941,0.3451639762618686,0.7668937349457003,0.6042006146669707,447.8256213633062
0.85,balanced,5,5759,0.35649261202712956,0.8289741112016166,0.6275193906078104,432.5323901062272
0.85,balanced,6,5496,0.3250136052060872,0.8241277440956181,0.6082676517147505,601.5506449623101
0.85,balanced,7,5887,0.33923594786046907,0.8849820873232356,0.6390047380506212,661.5860217667805
0.85,balanced,8,6353,0.3472845122331128,0.8448998547875899,0.6312920681877885,650.4767834202372
0.85,balanced,9,6208,0.35042406998818304,0.8412457746081038,0.6378930294706293,489.58940746129986
0.85,balanced,10,5535,0.34974065713103625,0.8260910998341213,0.6164818870221532,472.28259778927065
0.85,balanced,11,5910,0.346223442893752,0.8550725242206393,0.6355576750236112,589.1001346730277
0.85,balanced,12,5726,0.3571234356026941,0.8687563274753805,0.618399707746767,508.9904690192664
0.85,balanced,13,6484,0.35809936788468877,0.8328769926693618,0.6401987345149603,608.9093553507688
0.85,balanced,14,6136,0.3468114403980941,0.8559672312907858,0.6357529805244692,495.40475815593175
0.85,balanced,15,6617,0.358153424788232,0.842601300817169,0.6394440513345274,687.4107751624583
0.85,balanced,16,6160,0.3429824278571581,0.8320339917015843,0.6443903233114813,544.8458240524576
0.85,balanced,17,6168,0.3432636137182024,0.8640714894582744,0.6123386294250284,542.2157333640266
0.85,balanced,18,5970,0.349086149762748,0.7802787201203408,0.6327010627608853,490.11972911232897
0.85,balanced,19,5213,0.34480886993885185,0.7940295616947003,0.6114329729623512,551.7626594170629
0.85,balanced,20,6965,0.3679921191116647,0.8811505749547086,0.64550230733982,441.52631240494793
0.85,balanced,21,6012,0.33771027082906524,0.84290834358642,0.6413700242299034,668.0964060372119
0.85,balanced,22,5717,0.34304639132409714,0.8600823895886545,0.6131460715223421,565.5123582168258
