grid,K,beta_min,beta_max,day,proc,n,loglik,success,mass_lt_1ms,mass_1ms_100ms,mass_0p1_10s,mass_gt_10s
K7_1e-2_1e4,7,0.01,10000.0,20140424,Tr,0.964217037283881,29987.2146455893,True,0.0040664263837249,0.2740332459985289,0.3500492937025843,0.3360680711990427
K7_1e-2_1e4,7,0.01,10000.0,20140425,P,0.9342022537154672,28700.81610963703,True,0.0084829694412882,0.6017950247644129,0.17449727669303,0.1494269828167356
K7_1e-2_1e4,7,0.01,10000.0,20140425,Tr,0.9465228929073464,15669.768321999429,True,0.0036914304794693,0.2522078383910933,0.405043643634644,0.2855799804021396
K7_1e-2_1e4,7,0.01,10000.0,20140428,P,0.9080344462579544,17862.759067991065,True,0.0096364645104249,0.5772552890641536,0.165271105020543,0.1558715876628327
K7_1e-2_1e4,7,0.01,10000.0,20140428,Tr,0.9410521852020745,8750.925301163672,True,0.0042223777884691,0.3277717706410379,0.2508383882889773,0.3582196484835899
K7_1e-2_1e4,7,0.01,10000.0,20140429,P,0.9502720219728914,38265.42835694982,True,0.010379755149732,0.6100407810515124,0.1861164597933186,0.1437350259783282
K7_1e-2_1e4,7,0.01,10000.0,20140429,Tr,0.9665867628715268,22816.113236569498,True,0.0046283516599711,0.2678707574915365,0.3816231753122016,0.3124644784078174
K7_1e-2_1e4,7,0.01,10000.0,20140430,P,0.9528498815335286,43175.93830660787,True,0.0086399347341575,0.5775738705658052,0.1972257578430811,0.1694103183904847
K7_1e-2_1e4,7,0.01,10000.0,20140430,Tr,0.9349142215404256,28707.287179349914,True,0.0040635957111994,0.2882642098995404,0.3407501687105895,0.3018362472190962
K9_1e-2_1e4,9,0.01,10000.0,20140401,P,0.925833457352494,16212.253034329851,True,0.520091419938796,0.0595109567576743,0.2095941515304635,0.1366369291255601
K9_1e-2_1e4,9,0.01,10000.0,20140401,Tr,0.961442601764002,10350.273057367913,True,0.2512111802683916,0.0576949022346665,0.3436552174124586,0.3088813018484852
K9_1e-2_1e4,9,0.01,10000.0,20140402,P,0.9284596554129984,20679.592638363683,True,0.5373782800288026,0.0546885396986088,0.2019160233768603,0.1344768123087267
K9_1e-2_1e4,9,0.01,10000.0,20140402,Tr,0.9394697768831152,15437.778173814451,True,0.2301669925720535,0.0617646121740278,0.3811700237218247,0.266368148415209
K9_1e-2_1e4,9,0.01,10000.0,20140403,P,0.9692133055425436,39376.53370273742,True,0.5463374915162863,0.0537041253454421,0.2209237192150279,0.1482479694657872
K9_1e-2_1e4,9,0.01,10000.0,20140403,Tr,0.9631774379897308,24245.70609641392,True,0.1888920674041374,0.0314046295671844,0.5243429940090669,0.2185377470093421
K9_1e-2_1e4,9,0.01,10000.0,20140404,P,0.950366406953274,32088.993409890863,True,0.0748765008671274,0.5127649063810501,0.2060558608199297,0.1566691388851668
K9_1e-2_1e4,9,0.01,10000.0,20140404,Tr,0.9511640543618304,31883.21818270372,True,0.2195418644445136,0.0593569472883941,0.4143452454008995,0.2579199972280231
K9_1e-2_1e4,9,0.01,10000.0,20140407,P,0.9333170310735776,24820.40590248836,True,0.5302035708765575,0.0626689067555939,0.2270197620703753,0.1134247913710508
K9_1e-2_1e4,9,0.01,10000.0,20140407,Tr,0.943215274745449,17421.582683937126,True,0.2213065465475755,0.0430519334708014,0.4543280768373155,0.2245287178897564
K9_1e-2_1e4,9,0.01,10000.0,20140408,P,0.9213322519330736,17468.372250165223,True,0.5226751285155661,0.0550282845851495,0.1942180788527352,0.1494107599796228
K9_1e-2_1e4,9,0.01,10000.0,20140408,Tr,0.9575758715595282,19826.13822780926,True,0.2397163747909274,0.0393941406713786,0.4674765568227431,0.210988799274479
K9_1e-2_1e4,9,0.01,10000.0,20140409,P,0.922473996071191,17381.04146426308,True,0.5233276242251075,0.0632166461721199,0.2025897013173292,0.1333400243566344
K9_1e-2_1e4,9,0.01,10000.0,20140409,Tr,0.9267225396584234,10479.21459961898,True,0.2084875581310315,0.0569845742580675,0.4408944986146726,0.2203559086546518
K9_1e-2_1e4,9,0.01,10000.0,20140410,P,0.91306404339471,25286.6930198756,True,0.5144242158183424,0.0738204615811073,0.2160464023472855,0.1087729636479748
K9_1e-2_1e4,9,0.01,10000.0,20140410,Tr,0.9426189012298704,25546.5771777166,True,0.239332530788827,0.0661881754320933,0.3978507543309027,0.2392474406780472
K9_1e-2_1e4,9,0.01,10000.0,20140411,P,0.9469643257857328,33844.04487328777,True,0.5503484888158493,0.0546592766484716,0.1898892410320649,0.1520673192893469
K9_1e-2_1e4,9,0.01,10000.0,20140411,Tr,0.9620575326298384,23960.632373596185,True,0.030904869882415,0.2831153948339085,0.4098770802662851,0.2381601876472299
K9_1e-2_1e4,9,0.01,10000.0,20140414,P,0.9488143699860884,23123.231211145263,True,0.566103288060358,0.045229444093962,0.1987476813429414,0.138733956488827
K9_1e-2_1e4,9,0.01,10000.0,20140414,Tr,0.9622834844698784,16483.107079333604,True,0.2100909868458125,0.0659777223655861,0.4859500706395174,0.2002647046189624
K9_1e-2_1e4,9,0.01,10000.0,20140415,P,0.9394998644867208,34240.46472025307,True,0.5785501927746965,0.041530077313368,0.2018691670497745,0.1175504273488817
K9_1e-2_1e4,9,0.01,10000.0,20140415,Tr,0.9375150246254248,22980.466818539528,True,0.2285652610307939,0.0721407385894952,0.4157838454763169,0.2210251795288187
K9_1e-2_1e4,9,0.01,10000.0,20140416,P,0.9424251716843914,32657.796657482075,True,0.5832545512211373,0.0425929077512367,0.1838055949476311,0.1327721177643861
K9_1e-2_1e4,9,0.01,10000.0,20140416,Tr,0.954604268210658,14286.690751206135,True,0.22829776974217,0.0585632319257124,0.4179373615518702,0.2498059049909053
K9_1e-2_1e4,9,0.01,10000.0,20140417,P,0.9307234848070652,20223.56506690256,True,0.0595125266292118,0.5379422022811418,0.213236015995293,0.1200327399014186
K9_1e-2_1e4,9,0.01,10000.0,20140417,Tr,0.9481325462031716,11493.207511276334,True,0.1940314352279012,0.0496864523121026,0.4671170249084821,0.2372976337546855
K9_1e-2_1e4,9,0.01,10000.0,20140422,P,0.9166177910497711,14570.554921528645,True,0.5744080561386753,0.0413062683750636,0.1787893602850205,0.1221141062510118
K9_1e-2_1e4,9,0.01,10000.0,20140422,Tr,0.946215435534746,6716.290461232402,True,0.1735358487084642,0.0485829985311988,0.5498463690669352,0.1742502192281478
K9_1e-2_1e4,9,0.01,10000.0,20140423,P,0.9452506943504508,27393.92578053464,True,0.5907803730191575,0.0530138193121161,0.1775022238081654,0.1239542782110116
K9_1e-2_1e4,9,0.01,10000.0,20140423,Tr,0.9615557645233064,19220.88546844355,True,0.1968885788609564,0.0611034960820201,0.4629871949834655,0.2405764945968642
K9_1e-2_1e4,9,0.01,10000.0,20140424,P,0.9515099233270724,38403.84530548813,True,0.5766421163431046,0.0555065852199526,0.1932312262907523,0.1261299954732628
K9_1e-2_1e4,9,0.01,10000.0,20140424,Tr,0.9640993073229494,30189.638041760445,True,0.2066737136640838,0.0670486551772523,0.4224343118628558,0.2679426266187572
K9_1e-2_1e4,9,0.01,10000.0,20140425,P,0.936443817430932,29780.341459267715,True,0.5873883341054688,0.0433806455121407,0.1957601787212808,0.1099146590920418
K9_1e-2_1e4,9,0.01,10000.0,20140425,Tr,0.9459208086010796,15936.606308254612,True,0.2104826533457544,0.0576589734185431,0.4464887451372003,0.2312904366995818
K9_1e-2_1e4,9,0.01,10000.0,20140428,P,0.909393126996656,18726.71320250058,True,0.5614130044852167,0.0492730152593028,0.1853114587274683,0.1133956485246683
K9_1e-2_1e4,9,0.01,10000.0,20140428,Tr,0.9428214804591094,8804.009130456223,True,0.242888914291583,0.1034772592326149,0.2811987222193458,0.3152565847155656
K9_1e-2_1e4,9,0.01,10000.0,20140429,P,0.9503162754214652,39376.648736166666,True,0.5770847963893371,0.0784301642223645,0.183460023487777,0.1113412913219867
K9_1e-2_1e4,9,0.01,10000.0,20140429,Tr,0.9669593310980834,20608.31647141979,True,0.0290372537930365,0.2666118814523163,0.3960915713313448,0.2752186245213857
K9_1e-2_1e4,9,0.01,10000.0,20140430,P,0.953232675066827,44421.8098016899,True,0.5618099015247799,0.0476499962467491,0.2110023741585389,0.132770403136759
K9_1e-2_1e4,9,0.01,10000.0,20140430,Tr,0.9344959894974232,28799.350342052632,True,0.2164164372550512,0.0751750144901277,0.3819003382436471,0.2610041995085971
K11_1e-2_1e4,11,0.01,10000.0,20140401,P,0.9256103503634268,16295.436346960223,True,0.482020959494478,0.1098578376634077,0.2111719505226134,0.1225596026829277
K11_1e-2_1e4,11,0.01,10000.0,20140401,Tr,0.9684813884588586,10275.870324057649,True,0.1712360616522699,0.1309193954352919,0.373056057660975,0.2932698737103217
K11_1e-2_1e4,11,0.01,10000.0,20140402,P,0.9300605031737532,20663.045959734063,True,0.4833676255974339,0.1199995330711886,0.2040502240585525,0.1226431204465781
K11_1e-2_1e4,11,0.01,10000.0,20140402,Tr,0.939661085246367,15364.918387759564,True,0.1577429368517555,0.1242438101868439,0.4363750163570624,0.2212993218507051
K11_1e-2_1e4,11,0.01,10000.0,20140403,P,0.9689005018000908,39296.67954053052,True,0.4949155555370754,0.1117663925129579,0.2265160875064354,0.135702466243622
K11_1e-2_1e4,11,0.01,10000.0,20140403,Tr,0.9626546382889288,24234.753521344333,True,0.1389578851171831,0.1102848162350988,0.5253163694039532,0.1880955675326935
K11_1e-2_1e4,11,0.01,10000.0,20140404,P,0.9501704836047158,34493.14889803288,True,0.0797683765305326,0.5244579872680117,0.2120586116454513,0.1338855081607201
K11_1e-2_1e4,11,0.01,10000.0,20140404,Tr,0.9510464241353906,31799.8610757634,True,0.1570438813221104,0.112740776348849,0.4608727309593826,0.2203890355050486
K11_1e-2_1e4,11,0.01,10000.0,20140407,P,0.9314772650617896,24842.1205620486,True,0.4922952810758096,0.1161309628907346,0.2137863433172993,0.1092646777779459
K11_1e-2_1e4,11,0.01,10000.0,20140407,Tr,0.942997849712222,17396.82506448947,True,0.151004288762486,0.1503649323977155,0.4409236935529241,0.2007049349990962
K11_1e-2_1e4,11,0.01,10000.0,20140408,P,0.9208860699733716,17488.607993179015,True,0.4851593029594696,0.1091209171892783,0.1934951561177905,0.1331106937068331
K11_1e-2_1e4,11,0.01,10000.0,20140408,Tr,0.9570286698969164,19803.77975976941,True,0.1776385984094028,0.138954083072851,0.4394797009360833,0.2009562874785791
K11_1e-2_1e4,11,0.01,10000.0,20140409,P,0.9222653932379434,17384.442127399096,True,0.4798659378641589,0.1199669898591767,0.2015665773583687,0.120865888156239
K11_1e-2_1e4,11,0.01,10000.0,20140409,Tr,0.9181826464096176,4053.2249627230663,True,0.00229424342267,0.3373704222150724,0.3938524559316908,0.1846655248401843
K11_1e-2_1e4,11,0.01,10000.0,20140410,P,0.912415011057018,23949.43046349306,True,0.2364540714764256,0.3430383584211759,0.226911100378059,0.1060114807813574
K11_1e-2_1e4,11,0.01,10000.0,20140410,Tr,0.9434354835452066,25623.53494371792,True,0.169743228694306,0.1926047032636989,0.3595510542157485,0.2215364973714531
K11_1e-2_1e4,11,0.01,10000.0,20140411,P,0.9466917524734207,33945.82160197677,True,0.5246669916174397,0.0977933094709399,0.1749728728006298,0.1492585785844111
K11_1e-2_1e4,11,0.01,10000.0,20140411,Tr,0.9619501877664808,27094.61474920848,True,0.1737387831612813,0.1611893574945976,0.4193535495908028,0.2076684975197991
K11_1e-2_1e4,11,0.01,10000.0,20140414,P,0.9535877124947456,21867.3430206601,True,0.1376837125736234,0.4299351166100572,0.2676946120003902,0.1182742713106746
K11_1e-2_1e4,11,0.01,10000.0,20140414,Tr,0.9616916912423455,16493.12197254057,True,0.1377201558395799,0.1779265531295164,0.4732772779332503,0.1727677043399989
K11_1e-2_1e4,11,0.01,10000.0,20140415,P,0.937205679369902,34183.63995973765,True,0.5403910736215852,0.0909476585540084,0.1939928767641226,0.1118740704301857
K11_1e-2_1e4,11,0.01,10000.0,20140415,Tr,0.9381101402531762,22971.713047788617,True,0.1623751713399275,0.1506859854332143,0.4507991937427806,0.1742497897372536
K11_1e-2_1e4,11,0.01,10000.0,20140416,P,0.9426225438730672,32623.39052588189,True,0.5518124591821948,0.0857907505842119,0.1732411451615374,0.131778188945123
K11_1e-2_1e4,11,0.01,10000.0,20140416,Tr,0.9544076528676978,14292.103333462808,True,0.1499091266648372,0.157781019783725,0.4327252966609706,0.2139922097581648
K11_1e-2_1e4,11,0.01,10000.0,20140417,P,0.9299085859602318,23964.45758283532,True,0.5225570821361148,0.093875878011929,0.1993573711275862,0.1141182546846016
K11_1e-2_1e4,11,0.01,10000.0,20140417,Tr,0.9468883166093512,11518.323749105772,True,0.1327247823888776,0.1278774254501481,0.5096341742891927,0.1766519344811326
K11_1e-2_1e4,11,0.01,10000.0,20140422,P,0.9159595050995556,14621.910801119957,True,0.5453890809326399,0.0761340766104759,0.1807008257711292,0.1137355217853104
K11_1e-2_1e4,11,0.01,10000.0,20140422,Tr,0.9466602164012085,6711.082743648272,True,0.1161343981093363,0.1005345414524662,0.6026741362167283,0.1273171406226774
K11_1e-2_1e4,11,0.01,10000.0,20140423,P,0.945747099051374,21866.87749295168,True,0.010021255118343,0.6473758332081861,0.1788752579535188,0.109474752771326
K11_1e-2_1e4,11,0.01,10000.0,20140423,Tr,0.9622665384705632,19244.062435031745,True,0.1330047430810973,0.1340809445750969,0.515491018775641,0.1796898320387279
K11_1e-2_1e4,11,0.01,10000.0,20140424,P,0.95143003770539,38410.68774010849,True,0.5326673282832383,0.1126668240401301,0.1932441176770463,0.1128517677049753
K11_1e-2_1e4,11,0.01,10000.0,20140424,Tr,0.9649141935071828,30209.36272871295,True,0.1426061748386065,0.1405981176814942,0.4680494598467808,0.2136604411403012
K11_1e-2_1e4,11,0.01,10000.0,20140425,P,0.9355955035522764,29804.963564103586,True,0.5573648134612944,0.089611467670241,0.1847034623359369,0.1039157600848038
K11_1e-2_1e4,11,0.01,10000.0,20140425,Tr,0.946848756531296,15930.271020094398,True,0.1474967166800815,0.1231974398969992,0.5159797612676222,0.160174838686593
K11_1e-2_1e4,11,0.01,10000.0,20140428,P,0.9097146358255374,13872.487311849,True,0.0065862010683119,0.6187545055069555,0.1854002544826349,0.0989736747676349
K11_1e-2_1e4,11,0.01,10000.0,20140428,Tr,0.9418570635686376,8817.977217413467,True,0.1547926397026095,0.2070721752643523,0.2775128616210688,0.302479386980607
K11_1e-2_1e4,11,0.01,10000.0,20140429,P,0.953137017173186,39406.210876040495,True,0.5441237467355229,0.1122349320802666,0.1881215510206095,0.1086567873367868
K11_1e-2_1e4,11,0.01,10000.0,20140429,Tr,0.967180304407104,22546.78199061462,True,0.0498447493698637,0.2270313343802625,0.4339179309929741,0.2563862896640038
K11_1e-2_1e4,11,0.01,10000.0,20140430,P,0.9533527699732276,44281.82172645197,True,0.5037693681583005,0.0702390069623505,0.2607511618916757,0.1185932329609008
K11_1e-2_1e4,11,0.01,10000.0,20140430,Tr,0.9346342315112096,28284.452606630897,True,0.0360253598849851,0.255608323043298,0.4197932689438121,0.2232072796391142
K7_1e-3_1e4,7,0.001,10000.0,20140401,P,0.9593971130862567,14814.398780153679,True,0.007433765956886877,0.5861932545004949,0.21552965222914988,0.15024044039972512
K7_1e-3_1e4,7,0.001,10000.0,20140401,Tr,0.9761609912978907,9451.473903282655,True,0.002803835994455084,0.33545440640184604,0.33354661679407605,0.30435613210751356
